sub,state,city,age,sdacown,sdacee,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,sdacee2x,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccus,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,attention,gender,gender_text,race,race_text,edu,edu_text,employ,marital,income,income_text,home,monthlyexp,residence,politics,party,class,n4wheel,n2wheel,time
R_1C8DjAarAGDup5a,45,Brownsville,50,3,4,2,6,4,2,6,2,2,5,7,5,6,6,2,4,4,1,1,1,7,6,1,1,2,6,6,2,1,1,2,4,3,2,5,2,3,3,6,2,2,6,4,3,2,1,4,4,2,6,3,2,0,2,5,1,,7,,6,,handi,2,5,,1,500,2,2,2,3,1,0,1955
R_2dXY03KGN2ErvJ8,45,Arlington,41,7,3,2,2,2,2,2,5,4,4,3,6,2,3,3,3,3,2,2,3,3,3,2,2,2,3,2,2,3,2,3,2,2,3,3,3,3,2,1,3,2,1,2,1,1,6,5,5,5,6,4,4,4,4,5,1,,7,,6,,self,2,13,,1,20000,2,4,1,3,1,1,523
R_3qNCeNjwBse7qxH,33,Groton,39,7,7,7,6,6,6,6,7,7,6,6,7,7,6,6,2,2,2,3,3,2,3,2,2,3,3,2,2,2,2,6,6,6,6,6,6,6,6,5,6,6,7,6,5,6,7,6,7,5,6,6,6,2,6,5,1,,7,,8,,self,2,13,,1,15000,1,1,1,3,1,0,1182
R_3q8n3fQUXsjAAOm,45,forney,75,4,3,4,4,4,2,6,7,3,3,6,4,2,2,3,6,3,4,2,3,2,3,2,3,2,3,6,2,1,3,4,2,6,5,5,6,2,5,5,4,3,4,3,5,4,4,2,3,2,6,4,6,1,1,5,1,,7,,6,,retire,2,13,,1,1000,2,3,2,3,3,1,1232
R_3JK7bBNtYWI8vkU,45,Universal City,53,4,4,2,6,2,1,6,6,4,4,4,4,3,4,3,3,3,4,2,3,4,4,3,3,3,4,3,3,3,3,3,4,3,3,5,3,3,4,4,4,4,4,2,4,3,6,2,5,2,5,5,6,3,2,5,1,,4,,4,,student,3,4,,2,800,2,6,1,4,0,0,1128
R_1f2bHvvavi07ZoT,45,Katy,68,6,5,2,6,5,2,6,6,2,4,7,6,1,6,2,7,6,1,1,1,6,4,2,2,2,6,4,2,1,2,2,6,4,5,7,4,3,6,2,3,2,6,1,6,6,5,2,5,2,7,7,6,1,2,5,1,,7,,7,,retire,2,13,,1,11000,2,3,3,3,2,0,1439
R_Tbyt5pwHOXAA7PX,33,Peru,69,4,6,5,6,6,3,3,4,5,6,6,5,1,3,2,7,7,2,1,7,7,2,6,2,2,3,3,2,1,2,6,6,6,6,6,5,5,5,5,5,3,6,3,6,3,6,5,2,3,5,6,5,3,1,5,1,,7,,4,,retire,2,8,,1,3000,3,3,1,3,2,2,4052
R_1QJGonmogvXmUe9,45,Greenville,69,6,7,7,7,2,2,7,2,7,5,6,4,5,6,4,4,2,6,2,5,2,2,5,4,2,4,2,6,3,3,7,5,5,4,2,3,6,7,6,5,1,3,1,7,4,7,1,4,1,7,4,4,2,3,5,1,,7,,2,,retire,2,9,,1,3600,3,1,2,3,1,0,947
R_1MWzGoCWxWU4d1U,33,VALHALLA,41,7,5,4,6,6,3,5,4,7,5,5,6,7,5,6,6,2,6,4,7,6,5,5,6,6,6,6,6,6,6,4,4,5,6,5,6,2,6,4,5,4,4,6,4,4,5,5,6,6,4,4,4,3,4,5,1,,7,,8,,private,2,12,,1,80000,1,6,1,2,1,0,538
R_3dSu3noST47J2dE,45,Mesquite,67,6,5,2,7,2,2,6,6,2,3,6,6,2,6,2,6,2,2,1,2,6,4,2,3,2,5,5,2,2,3,2,5,5,4,5,6,2,5,5,5,4,1,2,6,5,4,1,1,2,6,6,6,2,1,5,1,,7,,4,,private,1,7,,1,300,2,2,3,4,0,2,1650
R_3PmFBJxswykOpvU,33,New York,33,5,7,2,6,5,1,5,7,5,6,6,5,7,6,5,2,1,7,2,7,6,5,4,6,4,3,5,1,6,6,6,2,4,3,3,2,7,6,5,4,2,4,3,5,1,4,1,4,4,6,1,5,1,3,5,1,,7,,6,,private,2,13,,1,250,1,4,1,2,2,0,684
R_2Eub8irTSr0BtQq,33,urban,40,6,6,6,6,6,5,6,6,4,6,6,6,6,5,6,4,6,6,6,6,6,6,5,2,6,5,5,6,6,5,6,6,6,5,5,4,5,5,5,6,5,6,6,6,6,6,7,7,5,7,6,7,4,6,5,1,,7,,8,,self,2,12,,1,100,1,1,1,2,2,2,1640
R_2QS8vJe8BwCYKJv,33,Endicott,36,6,5,2,6,6,2,6,7,5,4,4,4,4,4,4,3,3,3,4,3,3,3,3,2,4,3,4,3,4,4,5,5,4,3,5,4,5,6,5,5,2,5,3,6,6,7,3,5,3,6,7,6,2,1,5,1,,7,,5,,private,1,9,,1,400,3,2,2,3,1,0,401
R_3iPG2u8euu5jsvA,45,Dallas,35,5,5,3,6,6,3,5,5,4,2,3,3,5,3,5,5,3,5,3,5,2,2,3,5,4,4,5,2,2,5,6,2,5,3,3,5,6,5,5,5,2,5,2,5,2,5,3,5,2,6,6,6,2,1,5,1,,7,,6,,private,2,10,,1,4000,2,5,1,3,1,0,1039
R_XG04puC7OvF1fHz,33,New York,49,6,4,2,6,3,6,2,7,5,3,6,4,7,2,2,6,6,5,6,2,2,3,6,3,7,5,6,3,1,4,1,2,3,5,3,6,6,1,5,7,2,3,5,2,7,4,7,1,6,5,3,4,3,6,5,1,,7,,8,,private,2,12,,1,2000,1,3,1,2,1,0,612
R_2TTq3quyfgplVTz,45,Fort Worth,42,7,7,7,7,2,2,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,6,6,6,6,6,6,7,5,6,5,1,,7,,8,,private,2,13,175000,1,310,1,7,1,2,1,1,548
R_dpxpXOjdKr9p4B3,33,Staten Island,40,7,2,1,7,7,1,7,2,5,2,6,6,7,2,7,7,6,7,6,6,6,2,7,7,2,6,2,7,7,6,7,6,6,6,6,7,6,7,7,7,6,6,2,7,6,7,5,7,7,6,6,5,3,7,5,1,,7,,8,,private,2,13,,1,10000,1,1,1,1,1,0,1111
R_Utpm6HBV1nig2op,45,Dallas,45,6,6,2,6,6,2,6,6,6,6,2,2,6,2,6,2,2,7,2,6,2,2,6,7,6,6,2,2,6,7,6,2,7,2,2,2,6,7,7,7,1,2,2,2,2,6,6,6,2,6,6,6,4,2,5,1,,7,,8,,private,2,12,,1,5000,2,2,2,2,4,2,1166
R_2xLhzQu2TUkZtYe,33,Staten Island,46,4,6,2,7,6,6,6,5,6,3,4,6,6,2,6,5,2,5,6,6,6,6,6,5,6,6,6,6,5,6,5,5,5,3,5,4,4,5,3,5,5,5,6,6,2,4,2,6,2,7,1,2,1,6,5,1,,7,,8,,private,2,13,250000,1,6000,1,6,1,2,1,1,677
R_2xQY50zP6HIGT64,45,Laredo,38,5,2,2,5,2,2,5,2,2,5,2,2,6,2,3,6,6,4,6,6,5,6,3,2,3,6,5,3,3,3,3,4,6,1,6,4,3,6,2,2,2,3,5,5,5,6,2,4,2,6,3,6,3,3,5,1,,7,,2,,private,2,12,,1,1200,1,4,1,3,2,2,992
R_3MldIAv2nIIco9K,33,Albany,40,6,7,3,6,5,3,6,5,4,4,5,5,4,3,4,4,4,5,5,6,4,4,3,5,5,4,5,4,6,4,5,6,4,4,4,4,4,2,3,6,4,5,5,5,5,4,3,4,5,5,3,4,2,3,5,1,,7,,8,,private,2,12,,1,4000,1,2,1,1,1,1,524
R_VO0I6kMQ19wFilX,33,brooklyn,61,3,4,3,6,2,4,5,4,2,2,4,4,3,5,3,5,4,3,3,3,6,6,3,3,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,6,4,2,0,6,5,1,,2,,8,,retire,1,9,,1,300,1,6,3,3,0,0,522
R_TdahTIUyeR94QdH,45,San Antonio,33,5,6,2,6,5,2,5,6,3,6,2,5,4,2,5,4,5,5,4,5,2,3,3,4,5,2,2,3,3,3,4,4,5,3,3,2,4,6,6,3,1,5,3,6,5,5,3,5,3,6,6,6,2,5,5,1,,7,,6,,self,2,10,,1,20000,1,4,1,2,1,1,1056
R_2E630KGwbiRuZ3g,33,Skaneateles ,72,5,4,2,7,2,3,5,4,4,4,4,4,4,4,4,6,4,4,4,4,4,3,4,3,3,3,6,2,3,4,4,5,2,2,5,6,2,4,5,5,3,4,3,4,4,4,6,2,5,4,4,2,1,1,5,1,,7,,6,,retire,2,5,,3,2000,3,7,1,5,1,0,1137
R_27Ed88MrCclT0Sn,33,New York city,38,5,6,6,3,6,6,6,6,5,3,5,7,3,4,6,5,2,3,4,6,6,5,4,4,3,4,6,3,4,6,6,4,3,5,5,5,5,5,4,2,5,4,5,3,6,5,3,5,3,6,6,3,3,2,5,1,,7,,8,,private,2,12,,1,120,1,4,2,2,1,0,989
R_1pJArlD8tycwYDO,45,cibolo,46,7,4,2,7,6,2,6,5,2,2,4,4,3,4,3,5,4,4,2,4,4,4,3,2,2,3,6,2,2,4,3,6,5,2,5,5,2,4,5,4,2,5,3,5,3,3,1,4,1,7,3,7,2,1,5,1,,"2,7",,6,,private,1,8,,1,800,2,7,3,3,1,0,660
R_30uH0l0xHnR0MiB,45,Houston,46,6,4,2,6,6,2,6,6,6,2,2,1,4,2,1,7,7,2,2,6,7,2,1,4,4,4,6,2,3,4,7,4,7,1,6,4,4,6,6,5,2,7,2,7,6,1,7,7,7,1,7,1,2,7,5,1,,5,,6,,private,2,7,,2,1000,2,1,3,3,1,0,1167
R_1DHY7vCyalbwM0c,33,new york,51,7,7,1,7,6,2,7,7,4,6,6,7,6,7,7,6,7,7,7,6,6,6,6,6,6,7,6,6,5,7,7,6,7,7,6,7,6,5,7,7,7,7,7,7,7,7,1,7,7,7,7,6,5,7,5,1,,7,,8,,self,2,10,,1,1200,1,1,1,3,1,1,697
R_2c1KHDZ1ovFH6oV,45,San Antonio,45,5,5,2,6,4,3,5,4,5,3,2,2,5,5,5,2,2,6,4,6,2,2,3,3,3,2,2,1,2,4,3,3,3,5,4,5,4,4,5,5,5,5,4,5,5,6,6,3,4,4,1,5,3,7,5,1,,7,,8,,private,2,13,,1,5500,1,4,2,3,2,0,670
R_3G0v18Tliedc6gE,45,Bryan,68,6,5,2,7,7,2,6,4,2,4,5,4,4,4,4,3,3,4,3,3,4,4,3,3,3,4,5,2,4,4,3,3,3,5,4,6,3,4,5,4,4,4,4,4,4,2,2,3,2,6,6,6,1,6,5,1,,7,,3,,retire,2,7,,1,200,2,3,2,3,0,0,1049
R_2XbS0ZAcjbpInkc,33,new york,36,5,6,2,5,5,2,5,4,5,4,5,4,6,2,4,6,4,5,2,3,4,4,2,4,3,5,3,5,2,4,3,2,2,4,2,5,4,7,6,6,2,6,4,5,3,7,2,2,1,7,7,5,1,7,5,1,,7,,8,,private,2,12,,1,3200,1,1,3,3,0,0,1417
R_20VhKWrIRnVTbgo,33,COOPERSTOWN,61,3,3,3,5,2,3,3,3,2,2,3,3,3,4,3,4,3,2,2,2,3,3,3,2,3,3,4,2,3,2,4,3,3,3,3,4,2,5,4,4,3,3,3,3,3,5,3,1,3,4,5,1,2,1,5,1,,7,,4,,unemploy,1,8,,2,1700,3,4,1,5,2,0,3125
R_Om0OSn1zR3zWHFn,33,Levittown,44,6,5,4,6,5,4,4,6,5,6,4,7,7,3,4,4,3,6,4,4,4,5,7,6,6,6,6,6,6,6,7,5,6,7,7,6,5,7,7,6,4,7,7,7,7,7,7,7,5,7,2,7,2,7,5,1,,7,,8,,private,2,11,,1,10000,1,1,1,1,2,1,595
R_2avfGV5j9s4u2Ax,45,san antonio,37,5,3,2,4,2,2,5,4,3,4,3,3,5,4,3,3,3,5,1,5,1,3,2,2,4,2,2,3,2,3,6,3,4,3,2,2,4,6,5,5,2,2,2,5,3,5,1,2,2,6,4,5,1,1,5,1,,7,,8,,private,2,11,,1,5000,1,4,1,3,2,0,1464
R_3rOIBl7njjniGJT,33,Arkville,70,7,5,2,7,1,1,7,7,5,5,1,1,4,1,3,5,4,4,2,4,1,2,2,2,2,2,2,2,2,3,4,4,3,4,3,2,2,4,5,5,4,4,4,4,4,7,1,4,2,7,5,7,2,1,5,1,,7,,8,,retire,3,6,,2,1500,3,2,2,4,1,0,907
R_2SGocmegY3wWy0l,45,Houston,35,5,6,3,6,6,3,6,6,5,6,5,2,6,3,6,2,3,6,5,6,3,3,5,6,6,2,5,2,4,5,6,6,6,3,2,5,5,5,6,6,2,4,2,6,6,6,2,3,3,6,6,3,2,3,5,1,,7,,6,,self,1,9,,1,2000,1,4,3,2,2,1,1362
R_sps6W8k6lPeXxkJ,33,bronx,40,3,2,3,3,7,3,2,5,7,6,7,7,6,5,6,7,7,5,6,6,5,6,7,7,5,6,6,7,7,6,6,6,6,6,6,7,6,6,6,6,7,5,6,7,6,6,6,6,6,6,7,5,3,6,5,1,,7,,8,,private,2,13,,1,1000,1,2,1,2,1,1,492
R_1lz4yRpA0WVHBBc,33,New York,40,6,3,4,6,6,2,7,4,2,5,4,3,6,2,2,5,1,6,4,2,3,3,2,2,2,2,2,1,3,4,3,2,3,5,3,3,1,5,3,5,3,6,4,6,3,4,4,5,4,6,4,5,3,6,5,1,,7,,8,,other,2,12,,1,10500,1,3,2,3,1,0,1480
R_Dc1kgnM0z6KGRJD,33,newyork,40,4,5,2,6,4,3,6,5,5,4,4,4,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,6,4,4,5,5,2,5,5,4,6,4,3,5,5,1,,7,,6,,gov,2,10,,1,99999,1,4,1,2,2,1,441
R_2lx4Kr0wXFmxI3f,33,New York City,37,4,5,2,6,4,3,4,3,2,5,3,3,6,2,5,4,3,5,4,6,3,3,4,5,5,4,4,2,3,4,3,2,4,3,6,5,4,6,6,4,2,6,3,6,4,6,3,5,4,5,3,3,3,3,5,1,,7,,8,,private,2,12,,1,3000,1,6,1,2,1,0,1872
R_1NEUnGH7qbRF29Q,33,new york,39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,1,6,5,1,,7,,8,,private,2,13,180000,1,10000,1,4,1,2,1,1,541
R_zUdvMVCGDaLTOgh,33,New York ,36,4,2,2,6,6,1,6,6,3,6,2,1,4,2,7,2,2,2,6,3,2,3,4,4,5,4,1,2,2,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,7,1,5,5,5,5,4,0,3,5,1,,7,,4,,retire,2,1,,1,1200,2,4,2,2,1,0,2021
R_3F2liluEQ16Rx5a,33,Long Island,54,6,5,2,6,6,2,6,5,3,3,4,3,4,3,3,4,4,4,4,4,3,4,3,3,3,4,3,2,3,5,4,4,4,4,4,6,2,6,5,5,1,6,1,6,3,5,2,5,1,6,4,6,2,2,5,1,,7,,8,,private,2,13,,1,10000,2,2,2,2,5,0,535
R_1IFeNX2moq5jUmI,33,New york City,35,6,6,2,6,7,1,7,7,7,7,1,1,7,1,6,1,1,7,1,7,1,1,1,7,7,1,1,1,1,7,7,1,5,7,1,1,7,7,7,7,1,1,1,7,1,7,1,7,1,7,7,7,5,1,5,1,,"1,7",,6,,private,2,12,,1,5000,2,1,2,2,3,2,1558
R_1dtBSMZ9cEfKdPg,45,america,40,6,3,3,6,1,7,1,2,2,2,2,2,2,2,2,2,2,1,3,1,1,4,6,1,1,1,1,7,1,1,6,1,1,1,1,1,1,2,1,1,2,1,1,1,1,7,6,5,6,7,7,3,4,2,5,1,,2,,1,,gov,2,11,,1,1000,2,1,2,2,2,2,586
R_2xxh1d2zSQ0THjc,33,New york,35,5,6,3,7,5,3,5,6,4,6,3,2,6,4,2,4,2,5,4,6,5,2,3,6,5,5,3,3,5,4,4,4,4,4,3,3,3,6,6,5,3,4,2,5,6,5,3,4,3,4,5,5,2,5,5,1,,7,,6,,private,2,12,,1,5000,1,4,3,2,2,1,795
R_10wx5Ip3dKwiOzK,33,Elmont,41,7,7,1,7,7,1,7,1,6,6,6,6,7,7,7,2,1,6,1,6,2,4,7,6,2,6,6,2,2,6,6,6,1,7,7,6,7,6,5,2,5,7,3,7,2,3,1,7,1,7,1,2,5,5,5,1,,7,,8,,other,2,13,,1,500,1,1,1,1,2,1,1616
R_3hzJ3OEkY69RBDK,33,Fairport,39,5,4,2,6,4,3,6,4,3,6,4,3,5,3,5,3,2,4,4,6,4,3,4,5,5,3,2,1,3,2,6,3,6,3,5,4,3,6,6,6,2,2,6,6,6,6,3,3,1,6,3,6,2,3,5,1,,7,,6,,private,2,12,,1,12000,1,1,1,1,1,2,1547
R_3RfOGwwtUAGwov3,45,AUSTIN,43,6,6,7,6,6,6,6,6,5,4,5,5,5,5,5,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,2,2,2,6,7,4,5,3,6,5,1,,7,,6,,private,2,13,,1,150,1,6,1,1,1,1,882
R_2XiVq95Epwlka0H,33,Rochester,40,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,2,5,2,5,5,4,5,5,2,4,4,2,4,5,5,5,6,6,4,2,2,6,6,6,2,2,2,7,6,5,3,3,3,5,5,5,3,5,5,1,,7,,2,,other,2,3,,3,8000,1,4,3,3,1,0,2040
R_3EsSjkoCdqdngCi,33,New York,39,7,7,2,6,6,6,7,7,7,6,7,7,6,2,6,6,2,7,3,6,6,3,5,6,6,5,6,1,6,6,6,5,5,5,5,7,6,7,6,6,3,4,6,6,6,6,1,4,1,6,6,4,4,5,5,1,,7,,8,,private,2,13,,1,813,1,7,1,2,2,0,2128
R_OqWKPofHL4Nmctr,33,Central Islip,40,6,6,2,6,6,6,6,6,6,2,6,6,6,6,6,6,2,6,6,2,6,6,2,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,4,7,5,1,,7,,8,,private,2,13,,1,200,1,1,2,2,1,0,694
R_ylQicOfP5leMAyB,33,New York,40,5,4,1,7,7,3,5,1,2,5,3,2,6,2,2,3,6,7,2,4,3,5,2,3,3,6,4,2,2,2,5,4,6,2,5,3,6,5,4,4,3,6,3,5,2,3,2,5,2,6,2,3,2,2,5,1,,7,,6,,gov,2,8,,1,3500,1,5,1,2,1,1,1361
R_2WNNiFllISkZYxs,45,Granbury,40,3,5,2,7,4,5,3,4,3,6,2,5,3,2,2,4,2,6,2,6,1,4,3,4,5,4,4,1,3,2,5,4,6,2,6,5,3,6,5,5,3,6,2,5,6,7,4,4,5,3,3,3,2,3,5,1,,7,,6,,private,2,9,,1,5000,3,4,2,3,1,0,951
R_2c0YdLg25ks8MSD,33,new york,37,5,2,2,7,2,3,4,4,2,3,6,6,3,6,2,6,6,2,6,4,6,6,2,2,3,6,6,3,3,2,5,3,5,2,2,4,4,6,4,4,3,6,3,5,4,5,3,4,3,6,1,3,2,3,5,1,,7,,8,,private,2,11,,1,6000,1,4,1,3,2,1,842
R_ZJYjpJ3tNaa5eSJ,33,brooklyn,40,6,6,1,6,6,2,6,6,6,5,2,2,5,2,6,5,4,6,3,6,3,3,2,5,2,3,2,2,2,3,5,3,6,4,6,3,3,6,6,6,2,5,2,6,6,5,2,5,5,6,6,6,3,3,5,1,,7,,8,,private,2,13,,1,3000,1,4,1,2,1,0,1047
R_1ePkeOcIFhYJQTl,33,Troy,35,6,3,2,5,6,2,6,7,3,7,4,6,6,2,6,4,1,7,2,6,5,5,2,5,3,3,5,1,1,4,4,4,5,4,4,5,5,5,5,5,3,5,3,5,7,4,3,5,3,7,3,5,3,3,5,1,,7,,11,,self,2,12,,1,1200,1,4,1,1,2,0,1135
R_2SiCjFmejdxsKSM,33,Kingston,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,5,1,,7,,8,,private,2,13,,1,5000,1,4,1,2,1,1,757
R_3kCgxDbNguWE4tu,45,Dallas,37,4,3,1,6,7,2,7,4,6,6,1,3,6,1,4,5,5,5,2,6,2,4,1,5,5,3,2,1,2,6,6,2,6,4,5,4,4,6,6,6,2,7,2,6,4,7,1,7,2,7,3,2,4,1,5,1,,7,,6,,private,2,12,,1,9000,1,4,1,2,1,0,1540
R_24ixGbuUEjEf30b,33,Elmont,48,6,6,6,7,7,6,7,7,7,7,7,7,7,6,7,6,7,7,7,7,6,7,7,7,7,6,6,6,7,7,7,6,7,7,7,7,7,6,2,1,6,6,7,7,7,7,6,7,7,7,6,7,3,7,5,1,,7,,8,,self,2,12,,1,5000,1,4,1,3,1,1,713
R_qVZxljv2slkKOel,45,Huston,50,5,4,1,7,5,2,7,6,5,6,5,4,7,1,6,3,1,7,6,7,1,2,5,4,2,2,1,1,1,7,5,2,7,1,3,1,6,5,4,5,2,5,2,6,4,6,1,5,2,6,5,6,2,1,5,1,,7,,6,,private,2,11,,1,7000,1,6,1,2,1,0,2130
R_1RIe16ClK7i9Cwx,33,Jamaica Hills,40,5,4,4,7,3,3,5,5,3,4,3,3,4,3,5,4,5,5,5,3,2,4,6,3,5,6,4,4,3,4,3,5,3,4,5,3,4,6,3,3,6,5,3,4,5,3,5,4,4,5,6,3,2,3,5,1,,7,,8,,private,2,13,"$160,000.00 ",1,5000,1,4,1,3,1,1,400
R_1gdSc0sVVK9os3g,33,New York,52,6,4,2,6,5,2,6,5,3,3,3,3,2,2,2,4,2,5,6,5,2,2,6,2,3,3,3,3,5,6,4,6,5,2,6,5,5,6,6,3,3,2,2,6,3,5,2,3,2,4,3,5,2,6,5,2,,3,,7,,private,1,10,,2,300,1,5,3,3,0,1,3562
R_7PRWPyxg21fJK7v,33,Canastota,30,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,6,7,7,1,1,7,7,6,7,7,7,1,7,1,1,1,1,2,1,7,1,7,1,6,4,5,2,5,3,7,1,4,5,1,,7,,8,,private,2,13,,1,18000,1,1,1,2,1,1,937
R_AAwI6ovnyC0wg81,33,yonkers,39,6,6,2,7,2,2,6,6,5,6,3,2,5,2,2,6,3,6,3,6,2,2,5,5,6,2,3,3,3,6,6,2,2,5,3,2,2,6,5,5,2,3,3,5,5,7,1,1,1,7,3,7,2,3,5,1,,7,,6,,private,2,13,,1,5000,2,6,1,3,2,1,857
R_4VN01fjAdEyQPAJ,45,texas,42,7,6,1,7,5,6,7,5,3,5,6,7,5,1,6,2,1,6,6,2,1,5,4,7,3,6,3,5,3,6,7,1,5,5,4,5,6,6,5,2,4,3,5,4,7,6,2,4,5,7,6,6,4,6,5,1,,7,,8,,private,2,8,,1,3000,1,4,1,3,2,0,1030
R_1FJk3wpzqapgQR7,33,New York City,35,7,6,7,7,6,2,7,6,6,2,7,6,6,2,6,6,2,6,6,6,7,2,5,5,2,5,2,6,4,5,2,2,2,3,2,3,2,2,2,3,2,1,2,2,3,6,5,6,6,6,6,7,2,6,5,1,,7,,8,,private,2,13,300000,1,4000,1,3,1,1,2,3,1750
R_2w0KtrNH1VJVGwr,33, new york,40,2,6,2,2,2,1,6,6,6,7,1,6,5,2,7,3,1,7,1,7,1,6,3,7,3,2,1,1,7,7,2,1,6,2,1,2,7,4,3,3,2,1,6,3,4,5,2,6,4,7,6,6,5,6,5,1,,"7,8,9",,8,,private,2,2,,1,3000,1,6,2,3,3,2,2261
R_2QAuMVu4QACfh5f,33,New York,38,5,7,1,7,6,2,6,6,6,7,6,6,6,2,4,1,1,7,5,3,4,6,5,6,2,6,4,1,7,7,6,6,6,6,6,2,7,6,5,6,2,6,4,6,7,7,3,6,4,7,4,6,1,2,5,1,,7,,8,,private,2,12,,1,2000,1,1,1,1,1,0,2004
R_D94O3EHKaiB3yXD,33,katonah,68,6,6,1,7,5,2,7,5,3,4,4,3,6,4,4,4,3,6,3,6,3,3,3,3,3,5,6,3,2,5,4,5,3,4,4,5,2,6,5,3,2,4,2,5,2,3,1,4,1,7,3,6,2,1,5,1,,7,,8,,retire,2,11,,1,1000,2,5,1,2,2,0,634
R_6Y8RhDjoR13CSXL,45,Houston,50,7,6,2,7,5,3,6,6,5,5,4,3,6,3,5,2,3,7,1,6,1,3,3,6,5,5,2,1,5,5,4,6,4,3,2,1,6,7,6,6,3,5,3,5,6,5,3,5,4,6,6,5,1,1,5,1,,7,,8,,private,2,10,,1,1000,1,1,1,1,1,0,1051
R_R98iKqCriHHM6TT,33,Cortland,38,3,6,4,5,3,3,4,6,3,4,4,3,5,2,4,6,5,6,3,4,3,2,1,3,4,3,6,2,2,6,6,2,2,3,2,6,3,6,5,5,2,2,3,5,4,6,4,2,3,6,4,5,1,2,5,1,,7,,5,,private,2,8,,1,1200,2,6,1,4,2,0,510
R_DC865hhoR922PTz,45,dallas,39,4,5,2,6,5,5,5,5,5,6,3,4,5,5,5,4,4,4,3,5,2,2,4,4,4,4,3,2,3,5,5,3,3,4,4,2,3,3,2,2,3,5,2,6,6,6,3,6,2,5,6,5,3,5,5,1,,7,,8,,private,2,13,,1,5000,1,4,1,3,1,0,3228
R_1rCyEAFd7YTDkhv,45,San Antonio,70,6,3,2,7,2,3,6,6,2,2,7,6,2,2,2,7,6,2,2,2,6,6,2,2,2,6,3,1,2,3,3,3,3,5,6,4,4,6,4,2,1,1,1,7,6,2,1,2,1,7,6,7,1,5,5,1,,7,,4,,retire,2,8,,1,1200,2,3,3,4,1,0,1296
R_RkknjoG7n0zgSf7,33,New york,56,7,6,1,6,3,3,3,6,6,6,2,4,1,4,6,2,6,6,2,1,6,7,6,6,7,6,4,5,6,5,4,7,7,5,6,6,6,6,7,6,6,6,5,6,6,7,7,6,6,6,7,5,3,6,5,1,,7,,8,,private,2,13,200000,1,50000,1,7,1,1,1,1,767
R_3isdD0YIxCxxei6,45,Amarillo,76,6,4,3,3,4,3,3,4,3,3,4,4,5,4,5,4,4,4,4,2,5,3,4,4,4,5,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,5,1,,7,,4,,self,3,5,,3,269,1,3,3,4,1,0,440
R_2sYjhqx3j9FVJVr,45,Sugarland,61,7,6,1,7,1,1,7,7,5,2,4,1,6,1,2,2,2,7,1,5,2,1,1,7,7,5,1,1,2,5,6,1,4,3,2,1,7,7,3,5,4,5,1,6,5,3,2,2,4,5,1,5,3,1,5,1,,3,,5,,retire,2,9,,1,200,2,4,1,3,2,2,1209
R_2DUYSa4gD0uDY50,33,Buffalo,40,3,4,2,6,6,3,2,3,2,2,3,3,2,2,4,3,2,3,3,1,1,3,2,4,4,2,3,3,1,3,5,2,5,3,3,4,4,7,5,6,4,7,2,6,3,5,3,6,3,6,3,5,2,3,5,1,,7,,8,,private,2,12,,1,8000,1,6,1,2,2,1,1378
R_31N2bv9zJ6MfK6b,33,New york,35,6,7,1,7,6,1,7,2,7,6,2,2,6,2,5,4,2,4,2,7,2,1,6,6,7,3,3,2,6,6,6,2,7,2,5,4,6,7,6,6,1,6,2,7,2,7,5,3,4,6,1,3,3,3,5,1,,7,,10,,private,2,13,"190,000",1,2000,1,4,1,2,2,1,718
