time,sub,lang,state,city,sdacown,sdacee,sdacee2x,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccind,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,siweststd,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,age,gender,edu,employ,marital,caste,income,incometext,home,monthlyexp,n4wheel,n2wheel
999,R_ekzTve896Fq3Hyx,EN,32,new delhi,2,4,3,5,3,5,6,2,4,5,5,5,3,3,3,4,4,3,4,3,4,2,4,5,4,3,3,3,4,5,4,4,5,2,4,5,2,3,5,3,3,5,4,3,3,2,5,4,6,3,4,5,5,3,5,30,2,7,private,2,general,7,,1,35000,2,3
865,R_RELvg2wEb4jXdrr,EN,14,pune,1,1,2,7,1,7,7,4,6,6,4,2,4,3,4,3,5,3,5,2,5,6,6,5,4,6,2,6,3,6,6,2,5,6,5,3,2,7,5,6,7,5,6,5,5,6,1,5,5,3,6,5,5,2,6,71,1,8,private,2,general,6,,1,55000,2,0
799,R_3nTuFRYpNNs3IuE,EN,14,mumbai,3,2,2,5,6,4,4,5,3,6,4,3,6,2,3,5,2,6,4,5,3,5,3,2,2,5,3,4,4,2,2,2,6,6,2,5,2,5,2,2,2,2,6,3,6,3,5,5,4,4,5,3,1,2,6,31,1,8,self,2,general,7,1200000,1,50000,2,2
665,R_1eyPWuCFXWxrcUy,EN,32,DELHI,7,7,7,6,6,6,6,7,6,5,6,5,7,6,6,7,6,7,6,5,7,7,6,7,7,6,6,6,7,6,6,7,6,7,7,7,6,6,7,6,7,7,7,6,7,5,7,7,7,6,7,6,7,4,7,39,2,8,self,2,obc,6,,1,70000,1,1
2385,R_1LMQee2GPbLgUAd,EN,14,Mumbai,4,2,3,4,7,3,4,6,3,6,4,4,3,2,6,3,3,5,1,3,1,4,3,5,5,3,3,4,6,3,6,4,6,4,2,1,2,2,7,4,3,2,2,1,7,6,4,3,5,4,6,2,4,1,6,21,2,9,private,1,general,7,,1,30000,1,0
644,R_V4IDa0EtPBvwY3T,EN,32,delhi,2,2,3,2,3,2,2,2,2,2,3,3,3,2,3,2,1,3,2,3,3,3,2,3,2,2,2,2,3,3,2,4,3,3,3,3,2,2,2,3,2,3,2,3,2,1,6,6,6,6,5,6,6,2,6,29,2,8,gov,2,general,6,,1,20000,1,1
967,R_2S8KVnEtpo4PC7m,EN,14,Mumbai,3,2,2,3,2,6,2,5,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,4,4,5,4,4,3,4,4,6,6,2,6,3,3,2,2,6,49,2,7,self,1,noans,2,,1,4000,0,0
1905,R_2czTEHHkeoi2s4q,EN,32,delhi,6,6,6,2,6,6,3,5,3,7,6,3,7,1,6,2,2,7,1,7,3,2,5,7,2,6,2,6,1,5,4,1,5,5,6,3,1,6,6,6,6,3,2,3,5,1,6,5,3,3,6,3,2,3,7,28,1,6,private,1,general,5,,1,15000,0,1
1068,R_1JOwQUIpcEfUh8t,EN,14,Mumbai,4,7,7,2,6,6,2,7,7,5,7,7,7,1,3,5,1,7,2,4,2,1,4,7,4,7,2,1,4,6,7,4,7,7,2,2,6,2,7,6,7,1,7,4,6,6,6,3,6,2,6,6,4,2,2,25,1,8,private,2,general,6,,1,20000,1,2
713,R_3RkZkflRQZs6bLA,EN,32,New Delhi ,6,5,4,7,7,6,4,6,6,6,4,6,6,5,6,6,5,6,6,5,4,4,7,4,6,4,5,5,5,6,5,5,5,6,7,6,5,5,6,7,5,6,6,6,4,5,6,4,6,6,5,7,7,2,6,39,2,8,self,2,obc,6,,1,55000,1,1
1294,R_b7pII25qwk5La3T,HI,32,New delhi,6,4,7,4,6,6,5,4,5,7,6,5,7,5,7,4,7,7,6,5,5,4,7,7,4,4,3,6,5,5,6,5,5,6,5,5,6,4,5,4,5,3,6,5,5,4,4,5,3,4,5,1,1,1,5,24,2,8,private,1,noans,1,,2,10000,0,1
1093,R_vMFGTTU3cxPBpQd,EN,14,Mumbai,3,3,2,4,5,6,4,5,5,6,4,4,4,2,3,5,2,5,2,6,3,5,5,5,4,5,2,4,2,5,6,5,6,6,3,4,2,6,6,4,4,3,5,3,6,5,6,6,2,5,3,3,2,1,6,23,2,9,private,1,obc,5,,2,20000,0,1
956,R_2Ckce0lzynIvhke,EN,14,Mumbai ,6,6,6,2,6,6,4,6,2,7,7,4,7,2,5,2,4,6,4,5,6,2,4,3,5,6,1,4,2,7,6,4,7,7,4,6,6,3,5,7,6,2,7,3,5,2,4,4,7,6,6,3,5,3,6,19,1,6,student,1,obc,4,,1,6000,1,2
852,R_24AwcF6Kixjc2YF,EN,14,Pune,3,3,2,3,5,4,3,3,2,5,5,1,6,1,7,4,1,7,2,7,6,4,5,6,5,3,1,3,5,6,6,4,5,5,7,2,1,5,4,3,5,7,5,7,1,5,5,6,1,5,1,1,1,1,7,32,2,7,private,2,none,2,,1,3000,0,1
1518,R_Y617naYg4yyuPbb,EN,14,mumbai,5,6,6,2,6,7,2,6,2,2,2,5,2,3,2,4,1,2,6,3,3,2,3,3,2,4,5,3,2,3,6,2,5,6,2,5,4,2,3,7,5,3,7,3,6,5,7,7,2,5,7,5,2,2,6,29,1,9,private,1,general,7,,2,20000,0,1
1380,R_1K1KphTHCw8l7dp,EN,14,Navi mumbai,4,5,6,3,5,5,4,5,6,2,6,5,5,3,5,5,5,5,4,4,5,5,6,5,5,4,4,5,5,7,5,4,4,5,5,3,4,5,5,6,6,2,5,3,5,6,6,3,5,3,6,5,4,1,5,39,2,7,private,2,general,7,,1,25000,1,2
1782,R_qEElQWegQcUenzb,EN,14,Mumbai ,5,4,3,2,4,2,2,2,5,3,1,2,3,2,2,5,2,3,6,2,1,4,3,3,2,2,4,3,2,2,2,3,3,3,4,2,4,2,6,5,5,6,5,3,6,3,7,2,2,5,6,6,4,2,5,52,1,7,self,5,noans,6,,1,15000,0,2
2490,R_2f7eSPgb8yfequW,HI,32,दिल्ली ,4,3,3,3,5,3,4,3,4,5,4,4,6,2,4,5,2,5,2,2,1,2,2,4,3,3,2,4,2,4,4,2,3,4,5,4,3,4,5,3,3,5,5,5,3,3,1,7,5,5,3,2,1,1,7,18,2,4,student,1,general,1,,2,20000,0,1
1223,R_3JsXk8vNUXAhGOY,EN,14,mumbai,5,5,5,2,5,4,2,4,5,5,5,3,5,3,4,4,2,6,2,5,5,2,4,5,4,4,2,2,5,6,5,4,3,4,6,3,2,5,6,6,5,2,4,2,5,6,4,3,5,2,6,6,2,1,7,27,2,7,private,2,general,5,,1,20000,1,0
610,R_3McD6m5bSgbPtnS,EN,14,Mumbai,3,7,7,5,7,5,3,4,7,4,5,3,2,3,5,4,6,3,6,2,3,3,7,6,2,2,5,3,2,5,4,4,2,7,4,3,6,7,4,3,5,2,7,2,6,7,4,5,6,4,6,3,4,3,4,35,1,5,gov,2,general,7,,2,50000,1,2
690,R_OfoRLSITqNmHgpX,EN,14,pune,3,4,2,4,7,7,2,7,7,7,4,4,5,6,6,4,2,7,4,7,2,2,7,6,6,2,2,6,4,6,7,6,4,6,2,4,2,7,5,2,6,2,7,2,5,5,4,4,4,4,4,4,2,1,4,44,1,7,private,2,general,6,,1,35000,1,2
1688,R_1PR890nPSh7obCq,EN,14,Mumbai,2,2,2,3,3,5,6,5,2,5,3,3,5,3,3,2,3,3,3,5,1,2,2,5,2,2,2,3,2,2,3,3,5,4,3,2,3,2,4,3,4,5,6,3,3,4,4,5,5,4,3,3,2,3,5,62,1,4,self,2,general,3,,1,30000,0,1
567,R_1onhBA5P2TXRWYn,EN,32,Delhi,7,6,7,7,4,6,6,7,6,6,6,5,7,7,6,7,7,6,7,7,7,7,7,7,7,7,6,7,6,7,6,7,7,6,6,7,7,4,7,7,7,6,6,6,6,7,7,6,7,7,7,6,7,2,7,35,2,8,self,2,obc,3,,1,20000,1,1
640,R_bdxbLcrftZA7BYJ,EN,14,Mumbai,4,4,4,3,5,3,4,3,2,4,4,4,4,3,4,4,4,4,2,3,3,4,4,4,5,4,4,3,2,4,4,4,4,4,2,4,2,3,5,5,5,3,2,3,5,3,4,4,2,4,5,3,5,3,7,30,1,6,self,1,none,5,,1,10000,1,2
1950,R_A0ujJ6jHHOTyGe5,EN,32,New delhi,2,4,1,3,2,3,3,3,5,5,5,2,4,2,3,3,3,7,1,3,2,3,2,2,4,5,2,2,2,4,2,3,4,6,4,3,2,5,1,1,5,2,7,2,1,2,3,4,4,5,5,5,2,2,4,36,2,8,private,2,general,7,,1,30000,2,1
2121,R_1plHltNkRJzs0wM,EN,14,Mumbai ,6,4,6,2,6,6,3,4,2,3,5,3,3,1,4,2,1,6,3,6,2,3,4,5,4,2,2,6,2,7,4,1,3,1,3,6,1,2,6,6,2,5,5,6,2,3,5,2,3,3,5,3,2,1,4,36,2,7,self,2,sc,6,,1,120000,1,1
939,R_30tTsvEJI0J2qiu,EN,14,mumbai,3,3,2,5,5,6,4,4,3,4,4,3,4,2,4,6,3,5,4,6,5,3,5,2,4,2,4,2,2,3,4,2,5,6,4,3,2,4,5,5,4,3,3,3,4,3,5,5,4,3,5,2,2,2,3,24,1,8,private,1,obc,6,,1,10000,1,3
1791,R_1IEGPyHPYH3PXGW,EN,14,Kolhapur,5,6,6,5,4,5,6,5,4,3,5,4,5,3,4,2,2,6,3,2,3,4,3,6,5,3,3,4,4,4,4,3,7,5,3,2,2,3,3,3,2,2,5,2,5,7,3,6,2,2,1,1,2,2,6,23,1,5,private,1,general,3,,1,15000,1,2
2336,R_3n8yzzVTZ8uWQFW,HI,14,mumbai,2,5,4,6,6,5,5,4,3,5,5,2,3,2,5,3,2,5,2,4,2,3,2,3,2,3,2,2,2,2,2,3,5,6,2,2,5,4,5,5,3,3,5,4,5,3,3,6,2,3,5,2,3,2,6,40,1,8,private,2,general,6,,1,20000,0,1
828,R_277IOh9VvXI4wRj,EN,14,Mumbai,5,3,2,3,7,4,4,5,3,3,3,4,3,3,3,3,5,5,3,5,3,4,4,3,3,5,5,3,3,4,4,5,6,6,2,3,2,4,7,5,5,1,3,2,3,3,5,3,3,3,5,3,3,2,6,19,2,6,student,1,general,6,,1,50000,1,2
557,R_3qg3hHUVNk0D8wy,EN,14,mumbai,6,4,3,3,6,6,5,6,5,6,5,4,4,6,4,4,4,5,5,4,6,3,4,3,4,4,6,5,4,4,4,4,5,4,3,4,4,4,3,5,5,5,5,3,3,5,4,5,5,3,5,4,4,3,5,46,1,9,private,2,general,7,,1,40000,1,1
676,R_2CyvA1Y0gh3LRZh,EN,32,New Delhi ,4,5,4,3,3,4,4,5,4,3,3,2,3,3,3,3,2,3,2,4,3,3,3,3,3,3,3,2,4,3,3,4,6,6,3,3,2,4,7,6,6,3,7,3,7,7,7,4,5,4,5,7,2,2,2,40,2,8,self,2,general,5,,1,40000,1,0
1291,R_1QaSJSrUplDVx7N,EN,14,Pune,3,2,2,3,7,3,5,3,4,4,4,6,5,3,2,4,3,5,4,6,5,3,3,4,5,5,3,3,2,3,4,4,3,6,2,6,5,7,3,3,3,3,5,3,4,5,5,2,5,4,3,2,5,1,3,26,1,6,student,1,obc,2,,1,10000,1,2
1522,R_1d184l7EmUAUE32,EN,14,Mumbai ,2,2,2,4,4,7,6,2,3,4,5,2,4,2,4,2,2,4,4,6,2,3,6,2,5,6,2,2,2,5,4,2,6,6,2,6,3,6,5,6,6,5,6,2,6,3,2,5,6,5,2,1,1,0,7,30,1,8,private,2,sc,5,,1,3000,0,0
1361,R_3Paul4TH6qnSiwD,EN,32,New Delhi,6,4,6,2,6,7,2,6,6,6,6,2,7,5,4,6,3,5,3,6,1,3,3,6,6,6,5,4,3,3,5,4,4,4,6,6,5,5,7,2,5,4,5,1,4,1,7,2,5,1,5,6,7,4,6,39,1,8,self,2,general,6,,1,15000,2,2
2278,R_323ezzGpiXMfWTQ,EN,14,Mumbai,3,3,3,3,5,7,5,3,2,5,5,3,6,2,3,5,2,6,2,3,2,3,2,6,2,6,5,2,2,6,6,2,6,6,2,5,6,5,5,4,4,2,7,4,6,5,3,3,7,2,7,6,7,2,6,39,1,9,private,2,general,7,,1,30000,1,1
941,R_tFImgbjsDBBt3Zn,EN,14,Pune,3,3,2,6,3,6,6,2,4,7,4,4,4,1,5,6,2,6,2,7,2,2,6,3,2,6,2,3,2,2,5,5,2,2,5,6,3,5,5,3,5,2,4,3,4,2,4,6,4,4,3,3,1,2,6,30,2,7,private,1,general,6,,1,10000,0,1
519,R_vkKvpg5B0ujp5df,EN,14,Mumbai,5,6,4,5,5,4,6,5,6,5,5,4,2,6,5,5,4,6,4,4,6,5,6,3,4,5,4,6,5,5,4,3,5,5,5,4,4,6,5,5,5,6,5,5,5,5,6,6,4,6,6,5,4,2,5,29,1,8,private,2,general,6,,1,10000,0,1
660,R_2X69vpiIiKK0rph,EN,14,Mumbai ,6,7,7,1,7,7,1,7,7,7,7,3,7,1,7,2,3,7,2,5,4,1,2,7,7,2,5,3,7,7,7,1,7,4,4,2,7,7,7,7,7,1,7,1,7,7,7,1,7,1,7,7,5,3,5,46,2,8,private,2,general,7,,1,20000,2,1
1000,R_DxlrhPfk3six841,EN,32,DELHI,7,6,6,1,7,2,1,7,6,7,6,2,4,1,6,1,1,7,1,7,2,1,2,6,6,1,1,5,2,7,7,2,4,6,6,2,1,6,7,6,5,1,2,2,6,1,7,1,2,1,7,3,2,2,6,25,2,8,private,1,general,7,1900000,1,50000,3,1
1943,R_D94YhGEnsbgbTIB,EN,32,DELHI,5,4,2,4,5,3,5,5,4,5,4,3,5,3,4,6,5,6,5,5,6,5,4,6,5,5,2,6,4,2,2,6,6,5,6,5,6,5,7,5,6,6,6,6,7,7,2,6,5,1,2,2,2,0,6,29,2,7,private,2,general,3,,2,20000,0,0
1000,R_1Q3BRysQclF26Xa,EN,14,Mumbai,3,2,2,2,6,5,3,5,6,2,2,5,3,3,2,6,5,3,5,2,7,5,6,2,2,4,5,3,2,2,3,3,7,7,2,5,2,2,5,4,4,4,4,2,4,4,6,6,4,5,3,2,2,2,5,31,2,7,self,1,noans,4,,1,7500,0,2
1410,R_vSIoEksn4gCPrUJ,EN,14,mumbai,3,2,3,5,3,6,5,2,4,2,3,3,3,2,2,6,6,6,5,3,5,5,6,3,2,6,4,4,2,2,2,2,6,7,1,6,3,2,5,4,5,4,6,4,6,4,5,4,4,3,3,2,3,1,3,60,1,7,private,2,general,7,,1,30000,1,2
1321,R_A1CALXCLRwYjFbX,EN,14,Pune,3,3,2,4,4,3,4,4,5,5,5,3,3,2,4,3,4,5,3,5,2,3,6,4,5,2,2,4,4,3,5,4,4,2,5,4,3,6,4,4,4,4,3,4,4,3,5,4,4,4,5,2,3,1,4,65,1,4,private,2,general,5,,1,30000,1,0
1572,R_20YA8FdyWLXvwIu,EN,32,Delhi,3,6,3,2,7,5,3,3,4,3,2,3,2,3,4,4,3,5,3,3,3,3,1,5,3,2,1,2,1,5,3,2,6,6,3,6,2,6,6,4,4,2,6,4,5,4,5,4,4,4,5,2,3,1,3,51,1,7,self,2,general,6,,1,20000,1,0
599,R_ssZJH9sytBVYgbT,HI,32,DELHI,3,3,3,2,6,6,2,6,2,2,6,3,3,2,5,3,4,5,3,5,4,4,5,5,4,4,5,5,5,4,5,5,4,5,3,6,2,4,4,2,6,4,5,5,5,5,5,5,3,2,5,5,4,1,4,40,1,8,gov,2,general,6,,1,35000,1,2
1242,R_3rPwZTeor70Ls6x,HI,14,Pune,5,3,5,6,6,6,2,5,2,7,6,4,5,2,5,2,1,6,1,2,6,2,5,6,7,6,1,3,1,7,5,1,2,2,2,4,1,7,5,5,5,2,4,4,5,2,6,6,2,3,5,3,3,1,3,35,1,8,private,2,general,7,,1,15000,1,2
1023,R_2dPUpDiN9LENb0m,EN,14,Pine ,4,5,5,3,3,7,4,5,2,6,6,5,6,5,6,7,7,5,7,5,5,6,6,3,5,4,5,5,7,6,6,7,7,6,7,6,5,4,6,6,6,2,2,2,3,6,5,6,5,2,5,7,4,3,2,47,2,7,self,2,general,3,,1,90000,1,1
846,R_2QMdjvReZ6lloBN,EN,14,Mumbai,4,3,2,3,6,6,3,5,4,2,3,5,3,5,2,5,4,6,5,2,3,5,4,3,2,4,5,3,4,3,2,4,5,5,2,4,3,2,6,4,4,2,6,3,6,3,5,3,6,3,6,2,3,2,3,21,1,5,private,1,general,4,,1,15000,3,0
940,R_2qyfVhmrFCTWfRd,EN,14,Satara,3,6,5,3,6,6,3,3,4,7,5,2,6,2,5,3,2,6,2,2,2,2,4,6,5,4,2,3,7,7,4,3,4,4,4,4,2,6,6,5,5,5,6,6,6,4,7,5,4,2,5,5,2,2,5,20,1,4,student,1,general,6,,1,30000,1,1
1105,R_3iR6y5wBHhpiQUu,EN,32,Delhi,4,4,4,2,6,5,2,4,4,2,4,2,2,6,5,2,5,4,4,5,3,6,3,2,6,3,6,2,3,2,6,5,5,3,7,6,4,4,7,5,5,1,7,2,5,3,7,6,3,5,1,1,1,1,7,40,2,8,private,2,general,6,,1,4000,1,2
10800,R_OGX2M7h6jnZJY0V,EN,14,Malvan,3,6,3,3,5,6,4,5,5,3,3,3,3,3,5,5,3,3,4,3,3,5,4,3,3,5,5,3,2,3,3,4,5,3,2,3,2,3,6,5,5,2,2,1,6,5,7,3,1,1,7,7,5,1,7,44,1,7,self,2,obc,5,,1,20000,1,1
1091,R_2YFY5EUHuwfH7Uo,HI,14,Mumbai,4,3,4,2,7,6,2,5,4,6,6,6,6,2,5,4,1,6,2,6,2,4,6,6,4,4,7,7,2,7,6,2,5,5,4,5,2,7,5,4,6,5,6,5,5,6,5,2,6,3,6,4,2,3,5,32,1,4,unemploy,2,general,5,,1,1000,0,0
3224,R_1InK43ICufVMdUq,EN,14,Mumbai,6,4,4,3,5,5,6,3,3,5,5,5,5,4,6,4,4,5,4,4,4,4,3,5,4,3,3,4,4,5,5,4,3,4,4,6,5,3,5,3,6,2,2,5,3,3,6,4,2,3,4,5,3,3,5,25,2,8,self,1,noans,5,,1,20000,0,2
518,R_2Qt8VAmKdDRhsHw,EN,14,Maga,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,5,4,4,4,4,2,4,4,6,5,6,6,4,4,6,0,6,25,1,4,self,1,general,3,,1,10000,0,1
1772,R_XuF3SDDKXWtlIpb,EN,14,Pune,7,6,3,3,5,4,3,6,4,4,5,2,5,2,3,3,4,4,2,4,3,3,4,6,2,4,4,3,3,4,5,3,4,6,1,2,2,7,6,5,6,2,6,2,7,2,5,3,6,3,7,4,3,3,2,21,1,7,student,1,general,7,,1,5000,1,3
1041,R_2Toxs6CNkJnOux5,EN,14,Mumbai,4,4,3,3,5,4,3,4,4,3,4,3,4,2,5,2,2,6,3,5,4,2,4,5,4,3,2,2,3,4,5,4,4,3,3,4,2,3,6,5,6,2,4,3,6,5,6,4,5,4,4,4,4,2,6,49,1,4,private,2,general,2,,1,5000,0,0
1109,R_1H7CJuzNVbzNabU,EN,14,MUMBAI,7,4,4,1,7,7,1,7,7,3,5,2,5,5,6,5,3,5,3,5,2,4,4,5,4,4,4,4,3,6,5,3,5,5,3,3,2,6,6,4,4,2,7,2,6,6,5,2,6,2,6,3,5,3,3,38,2,8,private,2,general,7,,1,25000,1,0
592,R_1kRNHgVjwkoWOSq,EN,32,delhi,4,3,3,4,4,2,2,4,3,4,4,4,4,4,4,5,3,5,4,3,4,4,4,3,3,4,6,2,2,3,2,3,5,5,3,5,4,6,5,3,4,3,2,2,3,4,5,3,4,3,4,3,4,3,5,20,2,6,student,1,obc,5,,1,8000,1,1
615,R_9HRzspegmY4E8KJ,EN,14,Nashik,7,7,6,6,6,7,2,6,5,7,6,6,6,1,6,4,3,7,2,6,7,2,5,6,6,6,6,4,6,6,6,6,7,6,6,6,2,6,5,6,6,5,7,6,7,2,4,2,6,4,6,4,2,1,6,32,2,9,housewife,2,general,2,,1,10000,1,2
923,R_ZzcWzumFdMpppHr,EN,14,Pune,2,5,3,5,6,3,5,2,4,3,2,3,5,2,5,6,4,5,3,2,2,5,4,6,4,5,3,2,4,6,3,4,6,4,2,3,2,5,6,5,6,3,5,3,5,4,7,3,3,2,6,4,4,3,3,21,1,6,private,1,general,5,,1,10000,0,1
602,R_sLsQ9tpYF9Xd6ox,EN,14,Mumbai,4,6,5,6,5,6,6,3,4,5,2,6,2,6,6,6,6,6,4,4,6,6,6,1,4,6,5,2,5,2,5,4,6,7,3,6,5,4,6,5,5,4,6,6,6,4,3,5,3,5,6,2,3,0,7,34,1,6,unemploy,1,general,1,,1,3000,0,0
685,R_u8no5eofdAOdrW1,EN,32,New Delhi,6,6,6,5,6,5,5,3,3,5,5,5,4,4,5,3,4,3,2,6,3,5,4,5,4,4,5,5,4,5,5,4,5,5,5,5,2,3,6,6,6,3,5,4,4,2,6,3,4,3,5,3,4,4,6,28,1,8,private,2,sc,6,,1,20000,1,2
1812,R_zTJTM3Iaq9Tg3FD,EN,14,Ratnagiri,3,5,5,5,5,5,3,5,5,6,6,6,6,2,6,5,2,6,2,7,4,2,2,6,3,2,2,3,1,7,5,2,5,5,5,2,2,1,5,5,5,4,2,4,4,5,6,7,2,3,3,6,1,4,7,28,2,8,self,2,obc,5,,1,23000,1,2
1002,R_1IZAqBRIZwNigix,EN,14,Mumbai,5,3,1,2,7,7,6,4,5,2,2,6,3,2,2,6,6,7,4,2,6,5,4,2,3,3,6,3,3,3,4,5,7,6,2,6,5,3,7,5,5,1,7,3,5,6,5,4,6,2,6,4,4,2,6,31,2,7,private,2,general,6,,1,10000,1,1
1472,R_22rYcrjys0tbk0o,EN,14,Nashik,2,6,3,4,6,7,2,5,6,1,1,4,3,3,2,4,6,2,1,2,2,4,1,2,5,4,6,2,1,1,3,2,7,7,7,6,5,5,7,5,5,1,7,1,7,6,7,6,2,3,5,2,1,2,7,21,2,7,student,1,general,7,,3,30000,1,0
993,R_3shR61DR40tp3SU,EN,14,Pune,3,3,3,4,6,5,4,3,5,1,5,3,3,4,3,5,3,6,2,5,4,4,4,3,4,5,2,3,5,4,3,4,6,3,3,4,5,3,5,4,4,5,5,3,5,4,3,4,6,5,5,4,3,1,6,21,1,7,student,1,general,4,,1,9000,0,3
1390,R_33llgUnmimx6uMo,EN,14,Mumbai,5,3,3,6,6,6,6,4,4,2,5,5,3,5,5,5,6,6,4,5,5,5,5,2,3,2,6,5,4,5,2,2,2,1,5,6,6,5,7,4,4,1,4,1,7,5,2,6,2,5,4,6,1,0,7,50,1,5,handi,2,general,4,,1,30000,0,1
992,R_1eJK9HfTRkuq5G6,EN,32,Rohini,4,3,3,2,7,7,2,7,5,2,3,3,3,4,2,5,4,5,6,3,6,5,6,2,2,5,6,2,1,2,2,4,7,7,2,7,7,2,5,3,1,1,7,3,7,6,6,3,6,2,6,3,3,2,4,22,2,7,student,1,sc,2,,1,30000,1,1
927,R_Umh1AMoBb6Trx7z,EN,32,Delhi,6,4,3,4,6,4,2,7,7,7,7,1,7,2,5,7,2,7,2,5,1,3,6,5,6,6,2,1,3,3,7,3,5,7,2,7,4,3,7,5,6,1,7,2,6,1,2,3,6,2,6,1,2,1,7,51,1,9,private,2,general,5,,1,90000,1,2
557,R_3CV06eaU5yAap40,HI,14,Latur,2,6,4,3,4,4,3,4,3,4,2,5,6,4,6,6,5,6,5,6,5,6,6,6,5,5,5,6,5,5,4,5,4,5,4,5,4,6,1,4,2,5,6,7,6,5,3,5,6,3,4,4,2,0,5,25,1,5,self,1,noans,1,,1,10000,0,1
1078,R_2QgJHQJ3o3ZhZVO,EN,14,Mumbai,4,4,6,7,7,6,5,7,2,1,5,2,1,3,2,7,6,4,3,3,2,2,2,1,2,3,2,2,1,1,2,4,7,7,2,7,3,2,6,1,2,2,5,4,7,6,5,3,5,4,6,4,6,1,3,21,1,7,student,1,general,4,,1,20000,0,2
1841,R_3lKMgQ7BkyH512Z,EN,14,mumbai,4,3,2,5,3,3,2,3,3,4,3,3,3,2,3,2,2,4,3,6,2,3,3,2,2,3,2,2,3,2,3,2,4,7,4,3,2,6,4,5,5,3,6,3,5,5,5,6,5,3,5,2,1,0,3,24,1,8,self,1,general,6,,1,5000,4,1
595,R_2VqFjaGYQtyD1bA,EN,14,Pune,4,4,2,6,6,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,2,2,2,2,3,1,4,1,1,1,2,3,3,7,2,2,2,4,4,2,2,3,5,2,3,1,4,6,5,5,3,5,3,1,5,30,2,9,private,2,obc,2,,1,5000,0,1
519,R_32KQe8MavYyoGSW,EN,32,New Delhi,5,6,5,3,6,5,6,2,7,1,3,5,1,2,5,6,4,4,4,3,5,2,4,4,2,7,4,7,6,5,6,2,2,3,2,1,6,6,2,4,4,4,4,4,7,3,6,7,6,5,4,4,3,2,5,38,2,7,private,2,obc,6,,1,50000,1,0
2074,R_3qKFU8yI95fquxK,EN,14,Pune,4,4,7,4,7,7,4,7,4,3,2,3,4,4,3,5,2,3,6,7,1,4,4,4,3,3,2,4,3,4,7,4,7,7,7,4,2,4,5,4,4,4,5,4,5,4,4,3,5,5,5,4,3,0,4,21,1,6,student,1,general,5,,3,15000,1,3
1717,R_1pyW8sfwdnYCpk7,EN,32,Delhi,5,6,5,5,6,2,2,6,4,4,4,3,5,2,4,2,2,3,2,3,2,2,4,3,3,3,2,2,2,5,4,2,6,3,4,2,2,4,1,6,6,6,6,1,6,4,5,3,3,3,5,5,2,1,6,44,1,7,private,2,general,6,,1,40000,1,1
665,R_pGnBZXgmRXp0Fqh,EN,32,New Delhi,6,5,4,2,6,7,2,7,2,3,2,2,4,2,2,2,5,5,3,3,3,2,5,5,2,2,1,2,1,2,4,7,3,2,2,4,3,5,7,7,7,1,7,1,7,7,7,1,7,1,7,7,7,2,7,40,1,8,private,2,general,5,,1,15000,0,1
875,R_31oxtPjnwWRkiYw,EN,14,Mumbai,3,6,3,2,5,5,4,5,4,6,6,2,5,2,5,3,1,6,2,5,5,2,3,6,5,3,2,2,4,6,6,4,6,6,3,2,4,6,5,6,5,3,5,5,5,5,5,3,6,3,4,3,3,2,5,20,1,7,student,1,obc,6,,1,25000,0,1
1311,R_22V8dmPjFo05hC2,EN,14,Mumbai,6,6,6,2,6,1,2,4,4,6,6,2,5,2,5,4,4,6,2,6,2,3,5,5,4,4,2,5,4,4,4,4,6,5,6,2,4,6,4,5,6,4,2,2,4,4,5,3,4,4,5,3,3,3,6,59,1,5,private,2,general,6,,1,20000,0,1
1041,R_1goShSd2fQ8RPfg,EN,14,Pune,5,3,3,4,7,4,6,4,3,4,6,3,7,6,6,6,1,7,3,6,2,3,5,6,6,6,2,5,4,6,6,5,7,7,6,3,1,6,6,5,5,3,5,5,5,4,6,7,3,7,1,2,1,1,7,31,1,8,private,1,sc,5,,1,10000,0,1
1233,R_1JWvgCfTe4pUqH9,EN,32,Najafgarh,3,4,3,3,5,5,3,4,5,3,2,2,2,4,2,6,4,2,5,2,2,2,2,4,2,3,5,4,2,3,3,4,3,3,4,2,2,5,5,5,5,4,5,4,5,4,5,3,6,4,6,6,4,2,4,54,1,7,private,2,general,6,,1,25009,1,1
